country,track_name,artist_name,play_count,country_rank
Belgium,Propane Nightmares,Pendulum,614,3
Belgium,The Other Side,Pendulum,574,4
Belgium,Granite,Pendulum,489,5
Bosnia and Herzegovina,Flora,Nomumbah,23,1
Bosnia and Herzegovina,Milzik,Nomumbah,23,1
Bosnia and Herzegovina,Outono,Nomumbah,23,1
Bosnia and Herzegovina,Bye Bye,Cloud,22,4
Bosnia and Herzegovina,Dandaluna,Nomumbah,22,4
Bosnia and Herzegovina,Ela,Nomumbah,22,4
Bosnia and Herzegovina,Song For Mi Padre,Nomumbah,22,4
Brazil,Hechicera,Maná,387,1
Brazil,Clavado En Un Bar,Mana,349,2
Brazil,"¡Justicia, Tierra Y Libertad! (Revolución De Amor)",Maná,321,3
Brazil,Angel De Amor,Maná,296,4
Brazil,Decode,Paramore,291,5
British Indian Ocean Territory,Howl,Black Rebel Motorcycle Club,125,1
British Indian Ocean Territory,Puta Desagradecida,Bunbury & Vegas,62,2
British Indian Ocean Territory,"Que No Sea Kang, Por Favor",Los Planetas,60,3
British Indian Ocean Territory,Strange Days,The Doors,60,3
British Indian Ocean Territory,Miro La Vida Pasar,Fangoria,57,5
Bulgaria,Makes Me Wonder,Maroon 5,375,1
Bulgaria,Headlock,Imogen Heap,370,2
Bulgaria,Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off,Panic At The Disco,367,3
Bulgaria,If I Never See Your Face Again (Feat. Rihanna),Maroon 5,335,4
Bulgaria,Say It Right,Nelly Furtado,329,5
Canada,Untitled,Sigur Rós,684,1
Canada,Gravity'S Rainbow,Klaxons,639,2
Canada,Atlantis To Interzone,Klaxons,637,3
Canada,Golden Skans,Klaxons,510,4
Canada,Magick,Klaxons,454,5
Chile,Rock On,Jackson And His Computer Band,740,1
Chile,Fight,Natalia Barbu,612,2
Chile,Lo Que Quieres Ver,Proyecto Uno,445,3
Chile,Gimme More,Britney Spears,424,4
Chile,Utopia,Jackson And His Computer Band,401,5
China,Fullness Of Wind,Brian Eno,611,1
China,First Light,Harold Budd & Brian Eno,405,2
China,7.25,Mogwai,397,3
China,2/2,Brian Eno,345,4
China,Epaule Tatoo,Étienne Daho,244,5
Colombia,4 Minutes (Feat. Justin Timberlake),Madonna,136,1
Colombia,Bones,The Killers,112,2
Colombia,For Reasons Unknown,The Killers,109,3
Colombia,Aim At Me,Shalabi Effect,108,4
Colombia,Apologize (Feat. One Republic),Timbaland,107,5
"Congo, the Democratic Republic of the",Bessa,Tilly And The Wall,52,1
"Congo, the Democratic Republic of the",Fell Down The Stairs,Tilly And The Wall,50,2
"Congo, the Democratic Republic of the",Nights Of The Living Dead,Tilly And The Wall,48,3
"Congo, the Democratic Republic of the",Both Hands,Ani Difranco,35,4
"Congo, the Democratic Republic of the",Garden Of Simple,Ani Difranco,35,4
Cote D'Ivoire,Ghosts Piggy,Nine Inch Nails,333,1
Cote D'Ivoire,Thunderstruck,Ac/Dc,144,2
Cote D'Ivoire,Rock 'N' Roll Train,Ac/Dc,131,3
Cote D'Ivoire,Bitch,Margareds',118,4
Cote D'Ivoire,Insane Asylum,Controlled Collapse,112,5
Croatia,Ljeto Pocinje S Nama,Ramirez,344,1
Croatia,She'S Lost Control,Joy Division,326,2
Croatia,Jedan Zivot,Marčelo,269,3
Croatia,Lounge Act,Nirvana,155,4
Croatia,Revolver,Rage Against The Machine,128,5
Czech Republic,Strobe'S Nanafushi (Satori Mix),鼓童,211,1
Czech Republic,Do It Now,Dubtribe Sound System,182,2
Czech Republic,Çakkidi,Kenan Doğulu,163,3
Czech Republic,Young Love,Mystery Jets,159,4
Czech Republic,Suite Tropical,Sussie 4,148,5
Estonia,Bus Stop Bitties,Rjd2,350,1
Estonia,My Immortal,Evanescence,295,2
Estonia,Imagine,John Lennon,293,3
Estonia,Angel,Massive Attack,285,4
Estonia,9 Crimes,Damien Rice,281,5
Finland,Summer Wine,Ville Valo & Nathalia Avelon,548,1
Finland,Lost Boys,The 69 Eyes,429,2
Finland,Angel On My Shoulder,The 69 Eyes,427,3
Finland,Perfect Skin,The 69 Eyes,306,4
Finland,Los Angeles,The 69 Eyes,292,5
France,Break The Chains,Dream Evil,206,1
France,Under The Tree Of Us'Dum,Elvenking,171,2
France,Century,The Long Blondes,108,3
France,Never Ending Story,Within Temptation,102,4
France,Weekend Without Makeup,The Long Blondes,97,5
Germany,"If I Don'T Live Today, Then I Might Be Here Tomorrow",Mando Diao,859,1
Germany,Theme Of Laura (Reprise),Akira Yamaoka,512,2
Germany,Travelling Riverside Blues,Led Zeppelin,501,3
Germany,"Welcome Home, Luc Robitaille",Mando Diao,493,4
Germany,Can Things Be Better?,Gustavo Santaolalla,431,5
Greece,Ghosts Piggy,Nine Inch Nails,65,1
Greece,The Outsider,A Perfect Circle,49,2
Greece,All Against All,The Haunted,45,3
Greece,Passive,A Perfect Circle,37,4
Greece,Suppose I Told The Truth,Crippled Black Phoenix,34,5
Hungary,Cold Cold Ground,"Hank Williams, Jr.",375,1
Hungary,Penetration,The Stooges,193,2
Hungary,Can'T You See,"Hank Williams, Jr.",192,3
Hungary,Know You Rider,Hot Tuna,154,4
Hungary,Feelin' Better,"Hank Williams, Jr.",129,5
Iceland,Inflation,The Whitest Boy Alive,115,1
Iceland,In The Waiting Line,Zero 7,52,2
Iceland,Their Memories,Harold Budd & Brian Eno,51,3
Iceland,Destiny,Zero 7,46,4
Iceland,Friday Night Saturday Morning,Nouvelle Vague,46,4
India,Fat Bottomed Girls (Digital Remaster),Queen,35,1
India,Death Whispered A Lullaby,Opeth,33,2
India,Closure,Opeth,31,3
India,Bother (Spiderman Soundtrack),Corey Taylor,27,4
India,Everybody'S Changing,Keane,26,5
India,Trouble,Coldplay,26,5
Ireland,Light Surrounding You,Evermore,225,1
Ireland,Dare You To Move,Switchfoot,215,2
Ireland,Hide And Seek,Imogen Heap,197,3
Ireland,Hallelujah,Jeff Buckley,183,4
Ireland,Only In Dreams,Weezer,175,5
Israel,Oxford Comma,Vampire Weekend,26,1
Israel,Keep The Customer Satisfied,Simon & Garfunkel,25,2
Israel,People Are Strange,The Doors,25,2
Israel,Dedicated Follower Of Fashion,The Kinks,21,4
Israel,Night And Day,Ella Fitzgerald,21,4
Israel,Shayla,Blondie,21,4
Italy,You,Bad Religion,321,1
Italy,Bois De Merveilles,Malice Mizer,287,2
Italy,La Valse D'Amélie (Piano Version),Yann Tiersen,280,3
Italy,Saturnine,The Gathering,269,4
Italy,Stare At The Sun,Thrice,246,5
Japan,666 Conducer,Black Rebel Motorcycle Club,70,1
Japan,Music,Cornelius,70,1
Japan,Gum,Cornelius,63,3
Japan,Berlin,Black Rebel Motorcycle Club,58,4
Japan,Weapon Of Choice,Black Rebel Motorcycle Club,58,4
"Korea, Democratic People's Republic of",Intégrales,Edgard Varèse,5,1
"Korea, Democratic People's Republic of",Manoeuvre,Amm,5,1
"Korea, Democratic People's Republic of",Philomel,Milton Babbitt,5,1
"Korea, Democratic People's Republic of",Auf Einem Anderen Blatt,Wolfgang Rihm,4,4
"Korea, Democratic People's Republic of",Ostinato With Melody (For Pierre Boulez),Sir Harrison Birtwistle,4,4
"Korea, Democratic People's Republic of",Test Card,This Heat,4,4
Latvia,The Youth,Mgmt,139,1
Latvia,Closer,Kings Of Leon,117,2
Latvia,15 Step,Radiohead,94,3
Latvia,The Scientist,Coldplay,90,4
Latvia,I'Ll Attack,30 Seconds To Mars,82,5
Latvia,The Magic Position,Patrick Wolf,82,5
Lithuania,Raudoni Vakarai,Jieva,200,1
Lithuania,Second Day (Martin Roth Remix),Jose Amnesia Vs. Serp,145,2
Lithuania,Humanity (Live Video Edit),Atb,127,3
Lithuania,I Luv The Valley Oh!,Xiu Xiu,110,4
Lithuania,Y.O.U,Noémi,103,5
Macedonia,Illumine,Venus Hum,15,1
Macedonia,Prayer,Lizzy Parks,14,2
Macedonia,Make It Happen (Feat. Heidi Happy),Zwicker,13,3
Macedonia,Only Love Can Break Your Heart,Saint Etienne,13,3
Macedonia,This Language (Feat. Lateef The Truthspeaker),Stateless,13,3
Malta,Comptine D'Un Autre Été : L'Après-Midi,Yann Tiersen,72,1
Malta,Sur Le Fil,Yann Tiersen,58,2
Malta,Watching Lara,Yann Tiersen,35,3
Malta,Coma,Yann Tiersen,34,4
Malta,Guilty,Yann Tiersen,29,5
Mexico,Date Stamp,Abc,250,1
Mexico,Sång,Finntroll,248,2
Mexico,Hysteria,Muse,231,3
Mexico,Time Is Running Out,Muse,222,4
Mexico,Disorder,Joy Division,201,5
Morocco,Far Behind,Eddie Vedder,34,1
Morocco,Devil'S Answer,Atomic Rooster,33,2
Morocco,Love Hurts,Nazareth,27,3
Morocco,Setting Forth,Eddie Vedder,26,4
Morocco,The Rise Of Sodom And Gomorrah,Therion,26,4
Netherlands,My World,O.C.,237,1
Netherlands,New Cut Road,Guy Clark,199,2
Netherlands,Cemeteries Of London,Coldplay,197,3
Netherlands,You Shook Me All Night Long,Ac/Dc,196,4
Netherlands,Breathe Me,Sia,189,5
Netherlands Antilles,A0001,Thursday,1,1
Netherlands Antilles,How Good It Can Get,The Wallflowers,1,1
Netherlands Antilles,Losing Touching Searching,The Appleseed Cast,1,1
Netherlands Antilles,Out Of Reach,The Get Up Kids,1,1
Netherlands Antilles,The Ghosts Around You,Longwave,1,1
Netherlands Antilles,Tidal Wave,Longwave,1,1
New Zealand,Pretty Girls Make Graves,The Smiths,153,1
New Zealand,There Is A Light That Never Goes Out,The Smiths,123,2
New Zealand,I Know It'S Over,The Smiths,122,3
New Zealand,The Queen Is Dead,The Smiths,76,4
New Zealand,"Yes, I Am Blind",Morrissey,74,5
Nicaragua,Pista 17,[Unknown],67,1
Nicaragua,Como Me Mira,Fonseca,32,2
Nicaragua,Te Mando Flores,Fonseca,32,2
Nicaragua,Dois,Paulo Ricardo,30,4
Nicaragua,Ella,Bebe,29,5
Northern Mariana Islands,Ten Words,Joe Satriani,127,1
Northern Mariana Islands,Sultans Of Swing,Dire Straits,112,2
Northern Mariana Islands,Bubbles,System Of A Down,82,3
Northern Mariana Islands,Minä Olen,Kotiteollisuus,72,4
Northern Mariana Islands,Doom Over The World,Reverend Bizarre,70,5
Norway,Leather,Tori Amos,310,1
Norway,Larger Than Life,Backstreet Boys,289,2
Norway,Dreaming Girl,Bel Canto,257,3
Norway,Varme Dager,Raga Rockers,225,4
Norway,If You Want Me To Stay,Sly & The Family Stone,206,5
Peru,Falling Down,Oasis,252,1
Peru,Love Etc.,Pet Shop Boys,224,2
Peru,Wrong,Depeche Mode,210,3
Peru,No You Girls,Franz Ferdinand,207,4
Peru,Right Round (Feat. Ke$Ha),Flo Rida,197,5
Poland,Je T'Aime...Moi Non Plus,Serge Gainsbourg,1154,1
Poland,Ryoujoku No Ame,Dir En Grey,880,2
Poland,Ain'T Afraid To Die,Dir En Grey,855,3
Poland,Itoshii Hito,雅-Miyavi-,753,4
Poland,Somnus Memoria,植松伸夫,730,5
Portugal,Friends (Come And Go),Dapunksportif,437,1
Portugal,The Road To Hell,Chris Rea,315,2
Portugal,River In The Road,Queens Of The Stone Age,306,3
Portugal,An Honest Mistake,The Bravery,246,4
Portugal,My World Got Itself In A Hurry,Dapunksportif,241,5
Romania,Colorblind,Counting Crows,337,1
Romania,Fire,Scooter,199,2
Romania,Wish You Were Here,Pink Floyd,185,3
Romania,My Curse,The Afghan Whigs,179,4
Romania,Verti-Marte,The Twilight Singers,179,4
Russian Federation,A Well Respected Man,The Kinks,244,1
Russian Federation,Roots Radicals,Rancid,226,2
Russian Federation,Protect Me From What I Want,Placebo,216,3
Russian Federation,Time Bomb,Rancid,208,4
Russian Federation,Ты Меня Любишь,Marselle,202,5
Serbia,Fight With Shattered Mirrors,Zeigeist,626,1
Serbia,We Are The People,Empire Of The Sun,417,2
Serbia,Miles Away,Madonna,205,3
Serbia,Rock Steady,Mono,144,4
Serbia,Humanitarianism,Zeigeist,134,5
Singapore,Tony The Beat,The Sounds,41,1
Singapore,Back To Back,The Chariot,31,2
Singapore,Staring At The Sun,Tv On The Radio,29,3
Singapore,Staring At The Sun (Fade Remix),Woven,27,4
Singapore,Sex,The Pipettes,26,5
Slovakia,See You In My Nightmares,Kanye West,2069,1
Slovakia,Say You Will,Kanye West,2065,2
Slovakia,Heartless,Kanye West,2062,3
Slovakia,Love Lockdown,Kanye West,2059,4
Slovakia,Welcome To Heartbreak (Feat. Kid Cudi),Kanye West,2059,4
Slovenia,Hunted By A Freak,Mogwai,76,1
Slovenia,Killing All The Flies,Mogwai,72,2
Slovenia,I Know Who You Are But What Am I?,Mogwai,71,3
Slovenia,Moses? I Amn'T,Mogwai,67,4
Slovenia,Kids Will Be Skeletons,Mogwai,63,5
Spain,Guilty Pleasure,Cobra Starship,433,1
Spain,Gotta Be Somebody,Nickelback,303,2
Spain,Pista 17,[Unknown],257,3
Spain,Say It Like You Mean It,Matchbook Romance,199,4
Spain,Your Hand In Mine (With Strings),Explosions In The Sky,169,5
Sweden,Distortion Sleep,Soilwork,918,1
Sweden,Rejection Role,Soilwork,425,2
Sweden,I'M Alive,Disturbed,392,3
Sweden,Jailbreak,Sonic Syndicate,391,4
Sweden,Land Of Confusion,Disturbed,379,5
Switzerland,Sprout And The Bean,Joanna Newsom,187,1
Switzerland,"Peach, Plum, Pear",Joanna Newsom,181,2
Switzerland,The Book Of Right-On,Joanna Newsom,180,3
Switzerland,Bridges And Balloons,Joanna Newsom,178,4
Switzerland,Sadie,Joanna Newsom,170,5
Thailand,What I'Ve Done,Linkin Park,153,1
Thailand,Shadow Of The Day,Linkin Park,133,2
Thailand,Who Would Have Thought,Darren Hayes,123,3
Thailand,Call Of The Wild,Roxette,103,4
Thailand,I Was So Lucky,Roxette,101,5
Trinidad and Tobago,Wings Of Words,Chemistry,1438,1
Trinidad and Tobago,Wings Of Words (Instrumental),Chemistry,1262,2
Trinidad and Tobago,キミがいる,Chemistry,947,3
Trinidad and Tobago,Primal Innocence,鈴村健一,901,4
Trinidad and Tobago,Almost In Love,Chemistry,675,5
Tunisia,2Nd Law,Tom Mcrae,4,1
Tunisia,Velocity Girl,Snow Patrol,4,1
Tunisia,3 X 5,John Mayer,3,3
Tunisia,All My Life,Foo Fighters,3,3
Tunisia,Bad Idea,Ben Folds Five,3,3
Tunisia,Cold Hard Bitch,Jet,3,3
Tunisia,Delicate,Damien Rice,3,3
Tunisia,Dizzy,The Goo Goo Dolls,3,3
Tunisia,Godless (Massive Attack Mix Dub),The Dandy Warhols,3,3
Tunisia,Here With Me (Lukas Burton Mix),Dido,3,3
Tunisia,Perfect Time Of Day,Howie Day,3,3
Tunisia,Thankyou (Deep Dish Remix),Dido,3,3
Tunisia,What If?,Coldplay,3,3
Tunisia,Who Needs Shelter,Jason Mraz,3,3
Turkey,Famous Blue Raincoat,Leonard Cohen,534,1
Turkey,Beethoven'S Silence,Ernesto Cortazar,431,2
Turkey,Felitsa,Yanni,421,3
Turkey,100% Jesus,Daniella'S Daze,387,4
Turkey,Nocturne Op. 55 Nr. 2 Es-Dur,Frédéric Chopin,346,5
United Kingdom,Evil,Interpol,919,1
United Kingdom,Such Great Heights,The Postal Service,914,2
United Kingdom,Supermassive Black Hole,Muse,817,3
United Kingdom,Rebellion (Lies),Arcade Fire,800,4
United Kingdom,Soul Meets Body,Death Cab For Cutie,794,5
United States,Heartbeats,The Knife,1849,1
United States,Staring At The Sun,Tv On The Radio,1804,2
United States,Jolene,Cake,1484,3
United States,Such Great Heights,The Postal Service,1451,4
United States,Nothing Better,The Postal Service,1433,5
United States Minor Outlying Islands,Dance With Me,Nouvelle Vague,127,1
United States Minor Outlying Islands,One Two Three Four,Feist,121,2
United States Minor Outlying Islands,Breakin' Up,Rilo Kiley,80,3
United States Minor Outlying Islands,My Favourite Book,Stars,79,4
United States Minor Outlying Islands,Heartbeat,Annie,78,5
Venezuela,Gimme More,Britney Spears,1684,1
Venezuela,Womanizer,Britney Spears,1606,2
Venezuela,Piece Of Me,Britney Spears,1174,3
Venezuela,Break The Ice,Britney Spears,916,4
Venezuela,Radar,Britney Spears,909,5
Zimbabwe,Bypass The Blue,Your Local Network,231,1
Zimbabwe,Waves,J Dilla,68,2
Zimbabwe,Esp (Extra Sensory Perfection),Jehst,65,3
Zimbabwe,In A Beautiful Place Out In The Country,Boards Of Canada,55,4
Zimbabwe,Trapped,Boards Of Canada,54,5
