cohort_month,month_number,retained_users,cohort_size,retention_pct
2005-04,2,13,20,65.0
2005-04,3,13,20,65.0
2005-04,4,12,20,60.0
2005-04,5,13,20,65.0
2005-04,6,12,20,60.0
2005-04,7,12,20,60.0
2005-04,8,12,20,60.0
2005-04,9,14,20,70.0
2005-04,10,12,20,60.0
2005-04,11,13,20,65.0
2005-04,12,13,20,65.0
2005-05,0,6,18,33.3
2005-05,1,7,18,38.9
2005-05,2,7,18,38.9
2005-05,3,8,18,44.4
2005-05,4,8,18,44.4
2005-05,5,7,18,38.9
2005-05,6,7,18,38.9
2005-05,7,8,18,44.4
2005-05,8,8,18,44.4
2005-05,9,8,18,44.4
2005-05,10,7,18,38.9
2005-05,11,8,18,44.4
2005-05,12,7,18,38.9
2005-06,0,12,22,54.5
2005-06,1,12,22,54.5
2005-06,2,10,22,45.5
2005-06,3,10,22,45.5
2005-06,4,9,22,40.9
2005-06,5,10,22,45.5
2005-06,6,10,22,45.5
2005-06,7,12,22,54.5
2005-06,8,13,22,59.1
2005-06,9,12,22,54.5
2005-06,10,12,22,54.5
2005-06,11,11,22,50.0
2005-06,12,13,22,59.1
2005-07,0,14,28,50.0
2005-07,1,14,28,50.0
2005-07,2,15,28,53.6
2005-07,3,15,28,53.6
2005-07,4,16,28,57.1
2005-07,5,16,28,57.1
2005-07,6,16,28,57.1
2005-07,7,17,28,60.7
2005-07,8,19,28,67.9
2005-07,9,18,28,64.3
2005-07,10,18,28,64.3
2005-07,11,20,28,71.4
2005-07,12,20,28,71.4
2005-08,0,11,27,40.7
2005-08,1,10,27,37.0
2005-08,2,9,27,33.3
2005-08,3,9,27,33.3
2005-08,4,11,27,40.7
2005-08,5,11,27,40.7
2005-08,6,12,27,44.4
2005-08,7,13,27,48.1
2005-08,8,15,27,55.6
2005-08,9,14,27,51.9
2005-08,10,16,27,59.3
2005-08,11,16,27,59.3
2005-08,12,15,27,55.6
2005-09,0,16,24,66.7
2005-09,1,17,24,70.8
2005-09,2,17,24,70.8
2005-09,3,16,24,66.7
2005-09,4,17,24,70.8
2005-09,5,15,24,62.5
2005-09,6,14,24,58.3
2005-09,7,15,24,62.5
2005-09,8,17,24,70.8
2005-09,9,17,24,70.8
2005-09,10,13,24,54.2
2005-09,11,17,24,70.8
2005-09,12,17,24,70.8
2005-10,0,13,30,43.3
2005-10,1,15,30,50.0
2005-10,2,14,30,46.7
2005-10,3,13,30,43.3
2005-10,4,11,30,36.7
2005-10,5,10,30,33.3
2005-10,6,9,30,30.0
2005-10,7,11,30,36.7
2005-10,8,13,30,43.3
2005-10,9,14,30,46.7
2005-10,10,15,30,50.0
2005-10,11,14,30,46.7
2005-10,12,16,30,53.3
2005-11,0,13,25,52.0
2005-11,1,15,25,60.0
2005-11,2,17,25,68.0
2005-11,3,18,25,72.0
2005-11,4,18,25,72.0
2005-11,5,18,25,72.0
2005-11,6,17,25,68.0
2005-11,7,16,25,64.0
2005-11,8,15,25,60.0
2005-11,9,16,25,64.0
2005-11,10,16,25,64.0
2005-11,11,15,25,60.0
2005-11,12,15,25,60.0
2005-12,0,27,51,52.9
2005-12,1,25,51,49.0
2005-12,2,29,51,56.9
2005-12,3,29,51,56.9
2005-12,4,28,51,54.9
2005-12,5,28,51,54.9
2005-12,6,29,51,56.9
2005-12,7,30,51,58.8
2005-12,8,32,51,62.7
2005-12,9,32,51,62.7
2005-12,10,33,51,64.7
2005-12,11,30,51,58.8
2005-12,12,32,51,62.7
2006-01,0,15,39,38.5
2006-01,1,17,39,43.6
2006-01,2,16,39,41.0
2006-01,3,17,39,43.6
2006-01,4,18,39,46.2
2006-01,5,20,39,51.3
2006-01,6,19,39,48.7
2006-01,7,21,39,53.8
2006-01,8,22,39,56.4
2006-01,9,22,39,56.4
2006-01,10,24,39,61.5
2006-01,11,25,39,64.1
2006-01,12,26,39,66.7
2006-02,0,30,55,54.5
2006-02,1,29,55,52.7
2006-02,2,33,55,60.0
2006-02,3,32,55,58.2
2006-02,4,32,55,58.2
2006-02,5,33,55,60.0
2006-02,6,32,55,58.2
2006-02,7,34,55,61.8
2006-02,8,32,55,58.2
2006-02,9,29,55,52.7
2006-02,10,30,55,54.5
2006-02,11,30,55,54.5
2006-02,12,32,55,58.2
2006-03,0,35,59,59.3
2006-03,1,35,59,59.3
2006-03,2,36,59,61.0
2006-03,3,35,59,59.3
2006-03,4,32,59,54.2
2006-03,5,30,59,50.8
2006-03,6,33,59,55.9
2006-03,7,33,59,55.9
2006-03,8,33,59,55.9
2006-03,9,32,59,54.2
2006-03,10,35,59,59.3
2006-03,11,34,59,57.6
2006-03,12,34,59,57.6
2006-04,0,22,40,55.0
2006-04,1,20,40,50.0
2006-04,2,21,40,52.5
2006-04,3,20,40,50.0
2006-04,4,21,40,52.5
2006-04,5,19,40,47.5
2006-04,6,18,40,45.0
2006-04,7,20,40,50.0
2006-04,8,18,40,45.0
2006-04,9,17,40,42.5
2006-04,10,19,40,47.5
2006-04,11,18,40,45.0
2006-04,12,20,40,50.0
2006-05,0,22,41,53.7
2006-05,1,21,41,51.2
2006-05,2,21,41,51.2
2006-05,3,23,41,56.1
2006-05,4,19,41,46.3
2006-05,5,19,41,46.3
2006-05,6,20,41,48.8
2006-05,7,20,41,48.8
2006-05,8,18,41,43.9
2006-05,9,18,41,43.9
2006-05,10,20,41,48.8
2006-05,11,22,41,53.7
2006-05,12,21,41,51.2
2006-06,0,31,45,68.9
2006-06,1,27,45,60.0
2006-06,2,29,45,64.4
2006-06,3,25,45,55.6
2006-06,4,27,45,60.0
2006-06,5,25,45,55.6
2006-06,6,21,45,46.7
2006-06,7,21,45,46.7
2006-06,8,24,45,53.3
2006-06,9,23,45,51.1
2006-06,10,22,45,48.9
2006-06,11,21,45,46.7
2006-06,12,26,45,57.8
2006-07,0,11,28,39.3
2006-07,1,10,28,35.7
2006-07,2,8,28,28.6
2006-07,3,10,28,35.7
2006-07,4,12,28,42.9
2006-07,5,12,28,42.9
2006-07,6,14,28,50.0
2006-07,7,14,28,50.0
2006-07,8,14,28,50.0
2006-07,9,14,28,50.0
2006-07,10,14,28,50.0
2006-07,11,14,28,50.0
2006-07,12,12,28,42.9
2006-08,0,23,39,59.0
2006-08,1,22,39,56.4
2006-08,2,20,39,51.3
2006-08,3,20,39,51.3
2006-08,4,19,39,48.7
2006-08,5,18,39,46.2
2006-08,6,19,39,48.7
2006-08,7,17,39,43.6
2006-08,8,19,39,48.7
2006-08,9,19,39,48.7
2006-08,10,19,39,48.7
2006-08,11,18,39,46.2
2006-08,12,19,39,48.7
2006-09,0,13,19,68.4
2006-09,1,13,19,68.4
2006-09,2,13,19,68.4
2006-09,3,14,19,73.7
2006-09,4,14,19,73.7
2006-09,5,14,19,73.7
2006-09,6,14,19,73.7
2006-09,7,14,19,73.7
2006-09,8,14,19,73.7
2006-09,9,14,19,73.7
2006-09,10,14,19,73.7
2006-09,11,13,19,68.4
2006-09,12,13,19,68.4
2006-10,0,9,19,47.4
2006-10,1,8,19,42.1
2006-10,2,8,19,42.1
2006-10,3,6,19,31.6
2006-10,4,4,19,21.1
2006-10,5,5,19,26.3
2006-10,6,5,19,26.3
2006-10,7,8,19,42.1
2006-10,8,7,19,36.8
2006-10,9,7,19,36.8
2006-10,10,6,19,31.6
2006-10,11,7,19,36.8
2006-10,12,8,19,42.1
2006-11,0,13,27,48.1
2006-11,1,13,27,48.1
2006-11,2,11,27,40.7
2006-11,3,9,27,33.3
2006-11,4,10,27,37.0
2006-11,5,8,27,29.6
2006-11,6,6,27,22.2
2006-11,7,8,27,29.6
2006-11,8,8,27,29.6
2006-11,9,9,27,33.3
2006-11,10,9,27,33.3
2006-11,11,7,27,25.9
2006-11,12,9,27,33.3
2006-12,0,18,27,66.7
2006-12,1,20,27,74.1
2006-12,2,16,27,59.3
2006-12,3,18,27,66.7
2006-12,4,14,27,51.9
2006-12,5,16,27,59.3
2006-12,6,14,27,51.9
2006-12,7,15,27,55.6
2006-12,8,13,27,48.1
2006-12,9,14,27,51.9
2006-12,10,12,27,44.4
2006-12,11,12,27,44.4
2006-12,12,13,27,48.1
2007-01,0,14,21,66.7
2007-01,1,11,21,52.4
2007-01,2,12,21,57.1
2007-01,3,12,21,57.1
2007-01,4,15,21,71.4
2007-01,5,14,21,66.7
2007-01,6,13,21,61.9
2007-01,7,14,21,66.7
2007-01,8,15,21,71.4
2007-01,9,15,21,71.4
2007-01,10,15,21,71.4
2007-01,11,16,21,76.2
2007-01,12,15,21,71.4
2007-02,0,10,19,52.6
2007-02,1,10,19,52.6
2007-02,2,7,19,36.8
2007-02,3,7,19,36.8
2007-02,4,7,19,36.8
2007-02,5,9,19,47.4
2007-02,6,10,19,52.6
2007-02,7,10,19,52.6
2007-02,8,11,19,57.9
2007-02,9,8,19,42.1
2007-02,10,11,19,57.9
2007-02,11,9,19,47.4
2007-02,12,8,19,42.1
2007-03,0,6,9,66.7
2007-03,1,6,9,66.7
2007-03,2,5,9,55.6
2007-03,3,6,9,66.7
2007-03,4,6,9,66.7
2007-03,5,6,9,66.7
2007-03,6,6,9,66.7
2007-03,7,7,9,77.8
2007-03,8,6,9,66.7
2007-03,9,6,9,66.7
2007-03,10,7,9,77.8
2007-03,11,6,9,66.7
2007-03,12,7,9,77.8
2007-04,0,10,19,52.6
2007-04,1,10,19,52.6
2007-04,2,12,19,63.2
2007-04,3,11,19,57.9
2007-04,4,9,19,47.4
2007-04,5,10,19,52.6
2007-04,6,9,19,47.4
2007-04,7,7,19,36.8
2007-04,8,9,19,47.4
2007-04,9,9,19,47.4
2007-04,10,9,19,47.4
2007-04,11,9,19,47.4
2007-04,12,10,19,52.6
2007-05,0,6,23,26.1
2007-05,1,7,23,30.4
2007-05,2,8,23,34.8
2007-05,3,9,23,39.1
2007-05,4,6,23,26.1
2007-05,5,8,23,34.8
2007-05,6,7,23,30.4
2007-05,7,9,23,39.1
2007-05,8,9,23,39.1
2007-05,9,9,23,39.1
2007-05,10,12,23,52.2
2007-05,11,8,23,34.8
2007-05,12,10,23,43.5
2007-06,0,10,18,55.6
2007-06,1,10,18,55.6
2007-06,2,9,18,50.0
2007-06,3,8,18,44.4
2007-06,4,8,18,44.4
2007-06,5,8,18,44.4
2007-06,6,8,18,44.4
2007-06,7,9,18,50.0
2007-06,8,9,18,50.0
2007-06,9,10,18,55.6
2007-06,10,12,18,66.7
2007-06,11,12,18,66.7
2007-06,12,12,18,66.7
2007-07,0,5,14,35.7
2007-07,1,6,14,42.9
2007-07,2,6,14,42.9
2007-07,3,6,14,42.9
2007-07,4,6,14,42.9
2007-07,5,6,14,42.9
2007-07,6,5,14,35.7
2007-07,7,6,14,42.9
2007-07,8,7,14,50.0
2007-07,9,8,14,57.1
2007-07,10,8,14,57.1
2007-07,11,7,14,50.0
2007-07,12,9,14,64.3
2007-08,0,5,10,50.0
2007-08,1,5,10,50.0
2007-08,2,5,10,50.0
2007-08,3,4,10,40.0
2007-08,4,6,10,60.0
2007-08,5,6,10,60.0
2007-08,6,7,10,70.0
2007-08,7,8,10,80.0
2007-08,8,7,10,70.0
2007-08,9,7,10,70.0
2007-08,10,4,10,40.0
2007-08,11,6,10,60.0
2007-08,12,6,10,60.0
2007-09,0,7,9,77.8
2007-09,1,7,9,77.8
2007-09,2,7,9,77.8
2007-09,3,7,9,77.8
2007-09,4,6,9,66.7
2007-09,5,5,9,55.6
2007-09,6,4,9,44.4
2007-09,7,4,9,44.4
2007-09,8,4,9,44.4
2007-09,9,3,9,33.3
2007-09,10,5,9,55.6
2007-09,11,4,9,44.4
2007-09,12,4,9,44.4
2007-10,0,2,3,66.7
2007-10,1,2,3,66.7
2007-10,2,1,3,33.3
2007-10,3,1,3,33.3
2007-10,4,1,3,33.3
2007-10,5,1,3,33.3
2007-10,6,1,3,33.3
2007-10,10,1,3,33.3
2007-10,11,1,3,33.3
2007-12,0,2,2,100.0
2007-12,1,2,2,100.0
2007-12,2,2,2,100.0
2007-12,3,2,2,100.0
2007-12,4,2,2,100.0
2007-12,5,2,2,100.0
2007-12,6,2,2,100.0
2007-12,7,2,2,100.0
2007-12,8,2,2,100.0
2007-12,9,2,2,100.0
2007-12,10,1,2,50.0
2007-12,11,2,2,100.0
2007-12,12,2,2,100.0
2008-01,1,1,1,100.0
2008-01,2,1,1,100.0
2008-01,3,1,1,100.0
2008-01,4,1,1,100.0
2008-01,5,1,1,100.0
2008-01,6,1,1,100.0
2008-01,7,1,1,100.0
2008-01,8,1,1,100.0
2008-01,9,1,1,100.0
2008-01,10,1,1,100.0
2008-01,11,1,1,100.0
2008-01,12,1,1,100.0
2008-02,0,1,1,100.0
2008-02,1,1,1,100.0
2008-02,2,1,1,100.0
2008-02,3,1,1,100.0
2008-02,4,1,1,100.0
2008-02,5,1,1,100.0
2008-02,11,1,1,100.0
2009-05,0,1,1,100.0
