plan_type,country,month,play_count,unique_listeners
Family,Colombia,2008-02,1704,1
Family,Colombia,2008-03,2525,1
Family,Colombia,2008-04,1171,1
Family,Colombia,2008-05,1054,1
Family,Colombia,2008-06,201,1
Family,Colombia,2008-07,58,1
Family,Colombia,2008-08,432,1
Family,Colombia,2008-09,1194,1
Family,Colombia,2008-10,52,1
Family,Colombia,2008-12,14,1
Family,Colombia,2009-01,269,1
Family,Colombia,2009-02,444,1
Family,Colombia,2009-03,1002,1
Family,Colombia,2009-04,785,1
Family,Colombia,2009-05,866,1
Family,Czech Republic,2005-12,580,1
Family,Czech Republic,2006-01,1446,2
Family,Czech Republic,2006-02,1751,2
Family,Czech Republic,2006-03,1154,2
Family,Czech Republic,2006-04,1854,2
Family,Czech Republic,2006-05,1631,2
Family,Czech Republic,2006-06,1569,2
Family,Czech Republic,2006-07,1717,2
Family,Czech Republic,2006-08,1380,3
Family,Czech Republic,2006-09,2307,3
Family,Czech Republic,2006-10,1800,3
Family,Czech Republic,2006-11,2134,3
Family,Czech Republic,2006-12,2644,3
Family,Czech Republic,2007-01,2456,3
Family,Czech Republic,2007-02,2971,3
Family,Czech Republic,2007-03,3219,3
Family,Czech Republic,2007-04,3128,3
Family,Czech Republic,2007-05,3110,3
Family,Czech Republic,2007-06,2684,3
Family,Czech Republic,2007-07,2719,3
Family,Czech Republic,2007-08,2372,3
Family,Czech Republic,2007-09,2648,3
Family,Czech Republic,2007-10,2949,3
Family,Czech Republic,2007-11,2615,3
Family,Czech Republic,2007-12,2120,3
Family,Czech Republic,2008-01,2727,3
Family,Czech Republic,2008-02,3270,3
Family,Czech Republic,2008-03,2957,3
Family,Czech Republic,2008-04,4897,4
Family,Czech Republic,2008-05,5759,4
Family,Czech Republic,2008-06,5552,4
Family,Czech Republic,2008-07,5203,4
Family,Czech Republic,2008-08,4621,4
Family,Czech Republic,2008-09,4446,4
Family,Czech Republic,2008-10,4714,4
Family,Czech Republic,2008-11,4866,4
Family,Czech Republic,2008-12,2849,4
Family,Czech Republic,2009-01,3838,4
Family,Czech Republic,2009-02,4330,4
Family,Czech Republic,2009-03,3885,4
Family,Czech Republic,2009-04,4023,4
Family,Czech Republic,2009-05,139,2
Family,Estonia,2007-07,1201,1
Family,Estonia,2007-08,1066,1
Family,Estonia,2007-09,2945,1
Family,Estonia,2007-10,2438,1
Family,Estonia,2007-11,2320,1
Family,Estonia,2007-12,732,1
Family,Estonia,2008-01,1277,1
Family,Estonia,2008-02,2259,1
Family,Estonia,2008-03,1722,1
Family,Estonia,2008-04,834,1
Family,Estonia,2008-05,1123,1
Family,Estonia,2008-06,991,1
Family,Estonia,2008-07,823,1
Family,Estonia,2008-08,197,1
Family,Estonia,2008-09,1462,1
Family,Estonia,2008-10,920,1
Family,Estonia,2008-11,1512,1
Family,Estonia,2008-12,504,1
Family,Estonia,2009-01,281,1
Family,Estonia,2009-02,678,1
Family,Estonia,2009-03,48,1
Family,Estonia,2009-04,348,1
Family,Estonia,2009-05,1,1
Family,Finland,2005-02,296,2
Family,Finland,2005-03,1397,3
Family,Finland,2005-04,2801,3
Family,Finland,2005-05,2416,4
Family,Finland,2005-06,3856,5
Family,Finland,2005-07,3420,5
Family,Finland,2005-08,4880,5
Family,Finland,2005-09,4310,5
Family,Finland,2005-10,4272,5
Family,Finland,2005-11,4556,5
Family,Finland,2005-12,4894,6
Family,Finland,2006-01,4986,6
Family,Finland,2006-02,6509,6
Family,Finland,2006-03,11133,7
Family,Finland,2006-04,8233,7
Family,Finland,2006-05,8195,7
Family,Finland,2006-06,4228,7
Family,Finland,2006-07,2770,6
Family,Finland,2006-08,2097,6
Family,Finland,2006-09,3540,8
Family,Finland,2006-10,3294,8
Family,Finland,2006-11,4714,8
Family,Finland,2006-12,6681,8
Family,Finland,2007-01,5545,9
Family,Finland,2007-02,5792,9
Family,Finland,2007-03,6592,9
Family,Finland,2007-04,7155,9
Family,Finland,2007-05,8176,10
Family,Finland,2007-06,6502,9
Family,Finland,2007-07,8750,9
Family,Finland,2007-08,8315,9
Family,Finland,2007-09,8946,9
Family,Finland,2007-10,6088,9
Family,Finland,2007-11,8884,10
Family,Finland,2007-12,5748,9
Family,Finland,2008-01,7935,10
Family,Finland,2008-02,10810,10
Family,Finland,2008-03,9953,9
Family,Finland,2008-04,10326,9
Family,Finland,2008-05,10893,10
Family,Finland,2008-06,5872,10
Family,Finland,2008-07,6207,10
Family,Finland,2008-08,7702,10
Family,Finland,2008-09,8093,10
Family,Finland,2008-10,7691,9
Family,Finland,2008-11,7979,9
Family,Finland,2008-12,8061,10
Family,Finland,2009-01,9948,10
Family,Finland,2009-02,8307,10
Family,Finland,2009-03,7661,10
Family,Finland,2009-04,6487,10
Family,Finland,2009-05,3498,8
Family,France,2005-12,303,1
Family,France,2006-01,821,1
Family,France,2006-02,278,1
Family,France,2006-03,876,1
Family,France,2006-04,747,1
Family,France,2006-05,1037,1
Family,France,2006-06,1240,1
Family,France,2006-07,2656,1
Family,France,2006-08,1323,1
Family,France,2006-09,779,1
Family,France,2006-10,232,1
Family,France,2006-11,478,1
Family,France,2006-12,653,1
Family,France,2007-01,2668,1
Family,France,2007-02,2051,1
Family,France,2007-03,1720,1
Family,France,2007-04,1608,1
Family,France,2007-05,1729,1
Family,France,2007-06,465,1
Family,France,2008-12,1,1
Family,Germany,2005-02,885,1
Family,Germany,2005-03,919,1
Family,Germany,2005-05,956,1
Family,Germany,2005-06,2140,1
Family,Germany,2005-07,1756,1
Family,Germany,2005-08,971,1
Family,Germany,2005-09,973,1
Family,Germany,2005-10,1020,1
Family,Germany,2005-11,741,1
Family,Germany,2005-12,1538,1
Family,Germany,2006-01,2485,2
Family,Germany,2006-02,4647,4
Family,Germany,2006-03,2810,4
Family,Germany,2006-04,2794,5
Family,Germany,2006-05,8915,7
Family,Germany,2006-06,6946,7
Family,Germany,2006-07,11573,7
Family,Germany,2006-08,9729,7
Family,Germany,2006-09,6570,7
Family,Germany,2006-10,7942,7
Family,Germany,2006-11,6024,7
Family,Germany,2006-12,7260,7
Family,Germany,2007-01,8914,8
Family,Germany,2007-02,8539,8
Family,Germany,2007-03,9616,8
Family,Germany,2007-04,7021,8
Family,Germany,2007-05,8301,8
Family,Germany,2007-06,7422,8
Family,Germany,2007-07,6450,8
Family,Germany,2007-08,7517,8
Family,Germany,2007-09,6732,9
Family,Germany,2007-10,11126,9
Family,Germany,2007-11,10888,9
Family,Germany,2007-12,10738,9
Family,Germany,2008-01,9146,8
Family,Germany,2008-02,5879,8
Family,Germany,2008-03,7856,8
Family,Germany,2008-04,6627,8
Family,Germany,2008-05,12111,9
Family,Germany,2008-06,10468,9
Family,Germany,2008-07,9569,9
Family,Germany,2008-08,10644,9
Family,Germany,2008-09,9293,9
Family,Germany,2008-10,10621,10
Family,Germany,2008-11,10233,9
Family,Germany,2008-12,8859,10
Family,Germany,2009-01,9220,10
Family,Germany,2009-02,8748,10
Family,Germany,2009-03,9281,8
Family,Germany,2009-04,6400,10
Family,Germany,2009-05,373,6
Family,Hungary,2007-01,457,1
Family,Hungary,2007-02,1363,1
Family,Hungary,2007-03,1217,1
Family,Hungary,2007-04,1435,1
Family,Hungary,2007-05,1322,1
Family,Hungary,2007-06,1477,1
Family,Hungary,2007-07,1306,1
Family,Hungary,2007-08,1773,1
Family,Hungary,2007-09,1767,1
Family,Hungary,2007-10,1520,1
Family,Hungary,2007-11,2151,1
Family,Hungary,2007-12,1906,1
Family,Hungary,2008-01,1582,1
Family,Hungary,2008-02,1199,1
Family,Hungary,2008-03,1769,1
Family,Hungary,2008-04,1604,1
Family,Hungary,2008-05,1773,1
Family,Hungary,2008-06,1404,1
Family,Hungary,2008-07,1362,1
Family,Hungary,2008-08,1128,1
Family,Hungary,2008-09,1406,1
Family,Hungary,2008-10,1632,1
Family,Hungary,2008-11,1217,1
Family,Hungary,2008-12,1000,1
Family,Hungary,2009-01,958,1
Family,Hungary,2009-02,1017,1
Family,Hungary,2009-03,1217,1
Family,Hungary,2009-04,1181,1
Family,Hungary,2009-05,219,1
Family,Iceland,2006-03,996,1
Family,Iceland,2006-04,2689,1
Family,Iceland,2006-05,2132,1
Family,Iceland,2006-06,1763,1
Family,Iceland,2006-07,1171,1
Family,Iceland,2006-08,1036,1
Family,Iceland,2006-09,906,1
Family,Iceland,2006-10,1573,1
Family,Iceland,2006-11,1123,1
Family,Iceland,2006-12,1554,1
Family,Iceland,2007-01,152,1
Family,Iceland,2007-02,1077,1
Family,Iceland,2007-03,345,1
Family,Iceland,2007-04,2101,1
Family,Iceland,2007-05,1174,1
Family,Iceland,2007-06,167,1
Family,Iceland,2007-07,1049,1
Family,Iceland,2007-08,1364,1
Family,Iceland,2007-09,58,1
Family,Iceland,2007-10,415,1
Family,Iceland,2007-11,774,1
Family,Iceland,2007-12,406,1
Family,Iceland,2008-01,137,1
Family,Iceland,2008-02,193,1
Family,Iceland,2008-03,518,1
Family,Iceland,2008-04,467,1
Family,Iceland,2008-05,72,1
Family,Iceland,2009-02,128,1
Family,Iceland,2009-03,331,1
Family,Iceland,2009-04,92,1
Family,Ireland,2005-12,1174,1
Family,Ireland,2006-01,360,1
Family,Ireland,2006-02,575,1
Family,Ireland,2006-03,521,1
Family,Ireland,2006-04,711,1
Family,Ireland,2006-05,1041,1
Family,Ireland,2006-06,420,1
Family,Ireland,2006-07,1279,1
Family,Ireland,2006-08,1504,1
Family,Ireland,2006-09,925,1
Family,Ireland,2006-10,1235,1
Family,Ireland,2006-11,1338,1
Family,Ireland,2006-12,1156,1
Family,Ireland,2007-01,918,2
Family,Ireland,2007-02,2436,2
Family,Ireland,2007-03,2772,2
Family,Ireland,2007-04,2727,2
Family,Ireland,2007-05,2245,2
Family,Ireland,2007-06,2510,2
Family,Ireland,2007-07,2138,2
Family,Ireland,2007-08,1812,2
Family,Ireland,2007-09,1131,2
Family,Ireland,2007-10,1288,2
Family,Ireland,2007-11,2123,2
Family,Ireland,2007-12,2349,2
Family,Ireland,2008-01,3018,2
Family,Ireland,2008-02,1937,2
Family,Ireland,2008-03,1679,2
Family,Ireland,2008-04,2465,2
Family,Ireland,2008-05,4235,2
Family,Ireland,2008-06,2952,2
Family,Ireland,2008-07,1855,2
Family,Ireland,2008-08,834,2
Family,Ireland,2008-09,651,2
Family,Ireland,2008-10,3122,2
Family,Ireland,2008-11,3083,2
Family,Ireland,2008-12,2255,2
Family,Ireland,2009-01,808,2
Family,Ireland,2009-02,1516,2
Family,Ireland,2009-03,2535,2
Family,Ireland,2009-04,1332,2
Family,Ireland,2009-05,11,1
Family,Italy,2006-02,1264,1
Family,Italy,2006-03,1353,2
Family,Italy,2006-04,3594,3
Family,Italy,2006-05,1969,3
Family,Italy,2006-06,2809,3
Family,Italy,2006-07,2823,3
Family,Italy,2006-08,3735,5
Family,Italy,2006-09,4533,5
Family,Italy,2006-10,4616,5
Family,Italy,2006-11,4951,5
Family,Italy,2006-12,4218,5
Family,Italy,2007-01,4890,6
Family,Italy,2007-02,4090,6
Family,Italy,2007-03,3268,6
Family,Italy,2007-04,4273,6
Family,Italy,2007-05,4999,6
Family,Italy,2007-06,5388,7
Family,Italy,2007-07,6251,7
Family,Italy,2007-08,6248,7
Family,Italy,2007-09,7774,7
Family,Italy,2007-10,6514,7
Family,Italy,2007-11,6288,7
Family,Italy,2007-12,8297,7
Family,Italy,2008-01,7407,7
Family,Italy,2008-02,7046,7
Family,Italy,2008-03,5796,7
Family,Italy,2008-04,5264,7
Family,Italy,2008-05,5831,6
Family,Italy,2008-06,5755,6
Family,Italy,2008-07,6066,6
Family,Italy,2008-08,5681,7
Family,Italy,2008-09,7133,7
Family,Italy,2008-10,5118,7
Family,Italy,2008-11,5020,7
Family,Italy,2008-12,5404,7
Family,Italy,2009-01,5833,7
Family,Italy,2009-02,5847,7
Family,Italy,2009-03,4583,7
Family,Italy,2009-04,4496,7
Family,Italy,2009-05,3682,5
Family,Latvia,2006-02,296,1
Family,Latvia,2006-03,1786,1
Family,Latvia,2006-04,289,1
Family,Latvia,2006-05,1538,1
Family,Latvia,2006-06,1077,1
Family,Latvia,2006-07,2488,1
Family,Latvia,2006-08,1493,1
Family,Latvia,2006-09,875,1
Family,Latvia,2006-10,12,1
Family,Latvia,2006-12,1116,1
Family,Latvia,2007-01,1913,1
Family,Latvia,2007-02,1259,1
Family,Latvia,2007-03,1195,1
Family,Latvia,2007-04,1219,1
Family,Latvia,2007-05,282,1
Family,Latvia,2007-09,2277,1
Family,Latvia,2007-10,1064,1
Family,Latvia,2007-11,676,1
Family,Latvia,2007-12,1240,1
Family,Latvia,2008-01,565,1
Family,Latvia,2008-02,3,1
Family,Latvia,2008-06,5,1
Family,Latvia,2008-07,472,1
Family,Latvia,2008-08,23,1
Family,Latvia,2008-10,2207,1
Family,Latvia,2008-11,280,1
Family,Latvia,2009-03,18,1
Family,Latvia,2009-04,1,1
Family,Lithuania,2007-09,408,1
Family,Lithuania,2007-10,1866,1
Family,Lithuania,2007-11,621,1
Family,Lithuania,2007-12,615,1
Family,Lithuania,2008-01,826,1
Family,Lithuania,2008-02,1404,1
Family,Lithuania,2008-03,2111,1
Family,Lithuania,2008-04,618,1
Family,Lithuania,2008-05,1772,1
Family,Lithuania,2008-06,1295,1
Family,Lithuania,2008-07,1031,1
Family,Lithuania,2008-08,1099,1
Family,Lithuania,2008-09,1124,1
Family,Lithuania,2008-10,917,1
Family,Lithuania,2008-11,896,1
Family,Lithuania,2008-12,1516,1
Family,Lithuania,2009-01,1037,1
Family,Lithuania,2009-02,1085,1
Family,Lithuania,2009-03,51,1
Family,Lithuania,2009-04,1116,1
Family,Lithuania,2009-05,221,1
Family,Mexico,2005-11,1676,1
Family,Mexico,2005-12,2384,1
Family,Mexico,2006-01,2636,1
Family,Mexico,2006-02,2140,1
Family,Mexico,2006-03,2180,1
Family,Mexico,2006-04,1601,1
Family,Mexico,2006-05,1314,1
Family,Mexico,2006-06,1489,1
Family,Mexico,2006-07,1367,1
Family,Mexico,2006-08,1121,1
Family,Mexico,2006-09,57,1
Family,Mexico,2006-10,980,1
Family,Mexico,2006-11,727,1
Family,Mexico,2006-12,748,1
Family,Mexico,2007-01,857,1
Family,Mexico,2007-02,50,1
Family,Mexico,2007-03,697,1
Family,Mexico,2007-04,136,1
Family,Mexico,2007-05,1392,1
Family,Mexico,2007-06,473,1
Family,Mexico,2007-07,679,1
Family,Mexico,2007-08,906,1
Family,Mexico,2007-09,20,1
Family,Mexico,2007-10,134,1
Family,Mexico,2007-11,68,1
Family,Mexico,2008-01,257,1
Family,Mexico,2008-02,22,1
Family,Mexico,2008-03,562,1
Family,Mexico,2008-04,119,1
Family,Mexico,2008-05,153,1
Family,Mexico,2008-06,106,1
Family,Mexico,2008-07,45,1
Family,Mexico,2008-08,51,1
Family,Mexico,2008-09,195,1
Family,Mexico,2008-10,93,1
Family,Mexico,2008-11,36,1
Family,Mexico,2008-12,6,1
Family,Mexico,2009-02,41,1
Family,Mexico,2009-03,8,1
Family,Netherlands,2005-10,539,1
Family,Netherlands,2005-11,642,1
Family,Netherlands,2005-12,1403,1
Family,Netherlands,2006-01,1300,1
Family,Netherlands,2006-02,1444,1
Family,Netherlands,2006-03,1341,1
Family,Netherlands,2006-04,1255,1
Family,Netherlands,2006-05,1981,1
Family,Netherlands,2006-06,4675,2
Family,Netherlands,2006-07,2319,2
Family,Netherlands,2006-08,4077,2
Family,Netherlands,2006-09,3621,3
Family,Netherlands,2006-10,4271,3
Family,Netherlands,2006-11,8119,5
Family,Netherlands,2006-12,17377,6
Family,Netherlands,2007-01,12979,6
Family,Netherlands,2007-02,5302,5
Family,Netherlands,2007-03,8377,4
Family,Netherlands,2007-04,6533,3
Family,Netherlands,2007-05,5732,3
Family,Netherlands,2007-06,5663,3
Family,Netherlands,2007-07,3292,3
Family,Netherlands,2007-08,4309,3
Family,Netherlands,2007-09,4160,3
Family,Netherlands,2007-10,4375,3
